,show_id,release_year,rating,popularity,vote_count,vote_average,total_weeks_top10,best_weekly_rank,in_top10,imdb_rating,imdb_num_votes,avg_trend_score
show_id,1.0,0.7872134232312711,-0.22753084708031082,-0.07063296754954737,-0.12950820503173335,-0.22753084708031082,0.10290288896863058,-0.1387853142175861,0.14467200403133013,-0.06701788744381663,-0.0962551298535332,-0.2272772776267623
release_year,0.7872134232312711,1.0,-0.023244335712826344,-0.07734507778431407,-0.02850085299798274,-0.023244335712826344,0.13678037706798446,-0.21678108683474662,0.18878418544264336,-0.02827886084448459,-0.010877255258474213,-0.31215981846864455
rating,-0.22753084708031082,-0.023244335712826344,1.0,0.046543057110971106,0.174892888204171,1.0,0.0393214935814875,0.07715268303099958,0.07967617402393204,0.24561789778768292,0.15512379596124984,-0.051079196696348805
popularity,-0.07063296754954737,-0.07734507778431407,0.046543057110971106,1.0,0.18480981652872716,0.0465430571109711,0.03197854214961098,-0.011703115901419226,0.023620576651373595,0.03073377844291585,0.15602824213414634,-0.01417525631920752
vote_count,-0.12950820503173335,-0.02850085299798274,0.174892888204171,0.18480981652872716,1.0,0.174892888204171,0.2188337939665494,-0.07012697053647236,0.18128098551396868,0.18159700108745633,0.8157559087177958,-0.02073308596911966
vote_average,-0.22753084708031082,-0.023244335712826344,1.0,0.0465430571109711,0.174892888204171,1.0,0.0393214935814875,0.07715268303099958,0.07967617402393204,0.24561789778768292,0.15512379596124984,-0.051079196696348805
total_weeks_top10,0.10290288896863058,0.13678037706798446,0.0393214935814875,0.03197854214961098,0.2188337939665494,0.0393214935814875,1.0,-0.4653963198041909,0.7092898466988281,0.06312016667513366,0.22702509807316407,-0.08548065414878504
best_weekly_rank,-0.1387853142175861,-0.21678108683474662,0.07715268303099958,-0.011703115901419226,-0.07012697053647236,0.07715268303099958,-0.4653963198041909,1.0,,-0.0007382767460970399,-0.16877545361523555,0.14594914247092838
in_top10,0.14467200403133013,0.18878418544264336,0.07967617402393204,0.023620576651373595,0.18128098551396868,0.07967617402393204,0.7092898466988281,,1.0,0.0606609006552708,0.17261053156913822,-0.2069443880028388
imdb_rating,-0.06701788744381663,-0.02827886084448459,0.24561789778768292,0.03073377844291585,0.18159700108745633,0.24561789778768292,0.06312016667513366,-0.0007382767460970399,0.0606609006552708,1.0,0.24526631508252442,0.07808811894262771
imdb_num_votes,-0.0962551298535332,-0.010877255258474213,0.15512379596124984,0.15602824213414634,0.8157559087177958,0.15512379596124984,0.22702509807316407,-0.16877545361523555,0.17261053156913822,0.24526631508252442,1.0,-0.03150700335493531
avg_trend_score,-0.2272772776267623,-0.31215981846864455,-0.051079196696348805,-0.01417525631920752,-0.02073308596911966,-0.051079196696348805,-0.08548065414878504,0.14594914247092838,-0.2069443880028388,0.07808811894262771,-0.03150700335493531,1.0
